acc_id,anio_int,mes_num,dia_sem_ocu,hora,zona_str,depto_std,tipo_eve_norm
2013|1,2013,1.0,Martes,3.0,,Guatemala,
2013|2,2013,1.0,Martes,5.0,,Guatemala,
2013|3,2013,1.0,Martes,3.0,,Guatemala,
2013|4,2013,1.0,Martes,0.0,,Zacapa,
2013|5,2013,1.0,Martes,18.0,,Zacapa,
2013|6,2013,1.0,Martes,0.0,,Escuintla,
2013|7,2013,1.0,Martes,11.0,,Quetzaltenango,
2013|8,2013,1.0,Martes,1.0,,San Marcos,
2013|9,2013,1.0,Martes,7.0,,Huehuetenango,
2013|10,2013,1.0,Martes,8.0,,Alta Verapaz,
2013|11,2013,1.0,Martes,3.0,,Izabal,
2013|12,2013,1.0,Martes,4.0,,Sacatepéquez,
2013|13,2013,1.0,Martes,2.0,,Sacatepéquez,
2013|14,2013,1.0,Miercoles,15.0,,Guatemala,
2013|15,2013,1.0,Miercoles,7.0,,Guatemala,
2013|16,2013,1.0,Miercoles,22.0,,Guatemala,
2013|17,2013,1.0,Miercoles,7.0,,Escuintla,
2013|18,2013,1.0,Miercoles,10.0,,Santa Rosa,
2013|19,2013,1.0,Miercoles,18.0,,Huehuetenango,
2013|20,2013,1.0,Miercoles,10.0,,Alta Verapaz,
2013|21,2013,1.0,Jueves,11.0,,Guatemala,
2013|22,2013,1.0,Jueves,21.0,,Guatemala,
2013|23,2013,1.0,Jueves,14.0,,Escuintla,
2013|24,2013,1.0,Jueves,19.0,,Quetzaltenango,
2013|25,2013,1.0,Jueves,20.0,,Huehuetenango,
2013|26,2013,1.0,Jueves,22.0,,El Progreso,
2013|27,2013,1.0,Jueves,16.0,,Sololá,
2013|28,2013,1.0,Viernes,17.0,,Guatemala,
2013|29,2013,1.0,Viernes,7.0,,Guatemala,
2013|30,2013,1.0,Viernes,6.0,,Chiquimula,
2013|31,2013,1.0,Viernes,15.0,,Escuintla,
2013|32,2013,1.0,Viernes,8.0,,Suchitepéquez,
2013|33,2013,1.0,Viernes,20.0,,Quetzaltenango,
2013|34,2013,1.0,Viernes,18.0,,Baja Verapaz,
2013|35,2013,1.0,Viernes,14.0,,El Progreso,
2013|36,2013,1.0,Viernes,17.0,,Sololá,
2013|37,2013,1.0,Sabado,8.0,,Guatemala,
2013|38,2013,1.0,Sabado,12.0,,Chiquimula,
2013|39,2013,1.0,Sabado,8.0,,Suchitepéquez,
2013|40,2013,1.0,Sabado,7.0,,Quetzaltenango,
2013|41,2013,1.0,Sabado,9.0,,Huehuetenango,
2013|42,2013,1.0,Sabado,23.0,,El Progreso,
2013|43,2013,1.0,Sabado,16.0,,Izabal,
2013|44,2013,1.0,Domingo,9.0,,Guatemala,
2013|45,2013,1.0,Domingo,0.0,,Guatemala,
2013|46,2013,1.0,Domingo,8.0,,Zacapa,
2013|47,2013,1.0,Domingo,11.0,,Escuintla,
2013|48,2013,1.0,Domingo,19.0,,Suchitepéquez,
2013|49,2013,1.0,Domingo,23.0,,Retalhuleu,
2013|50,2013,1.0,Domingo,17.0,,Huehuetenango,
2013|51,2013,1.0,Domingo,0.0,,Totonicapán,
2013|52,2013,1.0,Domingo,20.0,,El Progreso,
2013|53,2013,1.0,Domingo,22.0,,Quiché,
2013|54,2013,1.0,Domingo,13.0,,Chimaltenango,
2013|55,2013,1.0,Lunes,5.0,,Guatemala,
2013|56,2013,1.0,Lunes,17.0,,Jutiapa,
2013|57,2013,1.0,Lunes,19.0,,Jutiapa,
2013|58,2013,1.0,Lunes,13.0,,Suchitepéquez,
2013|59,2013,1.0,Lunes,15.0,,Quetzaltenango,
2013|60,2013,1.0,Lunes,11.0,,Totonicapán,
2013|61,2013,1.0,Lunes,2.0,,Sacatepéquez,
2013|62,2013,1.0,Martes,12.0,,Zacapa,
2013|63,2013,1.0,Martes,11.0,,Guatemala,
2013|64,2013,1.0,Martes,6.0,,Chimaltenango,
2013|65,2013,1.0,Martes,17.0,,Zacapa,
2013|66,2013,1.0,Martes,19.0,,San Marcos,
2013|67,2013,1.0,Miercoles,7.0,,Guatemala,
2013|68,2013,1.0,Miercoles,8.0,,Sololá,
2013|69,2013,1.0,Jueves,8.0,,Guatemala,
2013|70,2013,1.0,Jueves,15.0,,Guatemala,
2013|71,2013,1.0,Jueves,11.0,,Chiquimula,
2013|72,2013,1.0,Jueves,7.0,,Santa Rosa,
2013|73,2013,1.0,Jueves,20.0,,Suchitepéquez,
2013|74,2013,1.0,Jueves,20.0,,Suchitepéquez,
2013|75,2013,1.0,Jueves,14.0,,San Marcos,
2013|76,2013,1.0,Jueves,4.0,,Alta Verapaz,
2013|77,2013,1.0,Jueves,20.0,,Quiché,
2013|78,2013,1.0,Jueves,5.0,,Chimaltenango,
2013|79,2013,1.0,Viernes,9.0,,Guatemala,
2013|80,2013,1.0,Viernes,7.0,,Guatemala,
2013|81,2013,1.0,Viernes,1.0,,Guatemala,
2013|82,2013,1.0,Viernes,19.0,,Guatemala,
2013|83,2013,1.0,Viernes,18.0,,Escuintla,
2013|84,2013,1.0,Viernes,8.0,,Suchitepéquez,
2013|85,2013,1.0,Viernes,4.0,,San Marcos,
2013|86,2013,1.0,Viernes,5.0,,Alta Verapaz,
2013|87,2013,1.0,Viernes,16.0,,Izabal,
2013|88,2013,1.0,Viernes,16.0,,Izabal,
2013|89,2013,1.0,Viernes,19.0,,Sololá,
2013|90,2013,1.0,Sabado,23.0,,Guatemala,
2013|91,2013,1.0,Sabado,1.0,,Guatemala,
2013|92,2013,1.0,Sabado,21.0,,Guatemala,
2013|93,2013,1.0,Sabado,9.0,,Guatemala,
