acc_id,tipo_veh,color_veh
2013|1,Pick up,Ignorado
2013|2,Automovil,Blanco
2013|3,Automovil,Gris
2013|4,Pick up,Verde
2013|5,Motocicleta,Rojo
2013|6,Pick up,Rojo
2013|7,Motocicleta,Negro
2013|8,Camioneta,Negro
2013|9,Camión,Verde
2013|10,Motocicleta,Azul
2013|11,Pick up,Ignorado
2013|12,Camión,Blanco
2013|13,Motocicleta,Ignorado
2013|14,Motocicleta,Ignorado
2013|15,Motocicleta,Negro
2013|16,Pick up,Blanco
2013|17,Motocicleta,Ignorado
2013|18,Bus urbano,Verde
2013|19,Bus urbano,Corinto
2013|20,Taxi,Blanco
2013|21,Automovil,Azul
2013|22,Camión,Blanco
2013|23,Motocicleta,Ignorado
2013|24,Bus urbano,Ignorado
2013|25,Motocicleta,Azul
2013|26,Motocicleta,Ignorado
2013|27,Bus urbano,Amarillo
2013|28,Bus urbano,Rojo
2013|29,Bus urbano,Rojo
2013|30,Pick up,Blanco
2013|31,Pick up,Beige
2013|32,Camión,Blanco
2013|33,Motocicleta,Ignorado
2013|34,Camioneta,Corinto
2013|35,Motocicleta,Rojo
2013|36,Pick up,Azul
2013|37,Microbus,Blanco
2013|38,Cabezal,Gris
2013|39,Microbus,Gris
2013|40,Automovil,Blanco
2013|41,Motocicleta,Negro
2013|42,Motocicleta,Ignorado
2013|43,Tractor,Amarillo
2013|44,Automovil,Blanco
2013|45,Automovil,Gris
2013|46,Cabezal,Negro
2013|47,Jeep,Blanco
2013|48,Motocicleta,Negro
2013|49,Camioneta,Gris
2013|50,Pick up,Azul
2013|51,Automovil,Ignorado
2013|52,Pick up,Corinto
2013|53,Camioneta,Anaranjado
2013|54,Camión,Blanco
2013|55,Automovil,Azul
2013|56,Motocicleta,Corinto
2013|57,Camión,Verde
2013|58,Camión,Azul
2013|59,Motocicleta,Azul
2013|60,Bus extraurbano,Ignorado
2013|61,Pick up,Rojo
2013|62,Cabezal,Verde
2013|63,Camión,Blanco
2013|64,Camioneta,Gris
2013|65,Camión,Blanco
2013|66,Pick up,Blanco
2013|67,Microbus,Amarillo
2013|68,Automovil,Negro
2013|69,Motocicleta,Ignorado
2013|70,Cabezal,Blanco
2013|71,Motocicleta,Rojo
2013|72,Motocicleta,Gris
2013|73,Pick up,Gris
2013|74,Camioneta,Negro
2013|75,Microbus,Azul
2013|76,Bus extraurbano,Beige
2013|77,Automovil,Blanco
2013|78,Pick up,Blanco
2013|79,Microbus,Corinto
2013|80,Pick up,Gris
2013|81,Cabezal,Rojo
2013|82,Automovil,Azul
