acc_id,fallecidos_lesionados,fall_les,g_edad,sexo_vic
2013|1,Lesionado,,30-34,
2013|2,Lesionado,,15-19,
2013|3,Lesionado,,30-34,
2013|4,Fallecido,,20-24,
2013|5,Lesionado,,20-24,
2013|6,Lesionado,,15-19,
2013|7,Lesionado,,Menor de 15,
2013|8,Lesionado,,Menor de 15,
2013|9,Lesionado,,20-24,
2013|10,Lesionado,,15-19,
2013|11,Lesionado,,15-19,
2013|12,Lesionado,,15-19,
2013|13,Lesionado,,15-19,
2013|14,Lesionado,,15-19,
2013|15,Lesionado,,15-19,
2013|16,Fallecido,,20-24,
2013|17,Lesionado,,Ignorado,
2013|18,Fallecido,,40-44,
2013|19,Fallecido,,15-19,
2013|20,Fallecido,,55 y más,
2013|21,Lesionado,,25-29,
2013|22,Lesionado,,15-19,
2013|23,Fallecido,,25-29,
2013|24,Fallecido,,20-24,
2013|25,Lesionado,,30-34,
2013|26,Lesionado,,25-29,
2013|27,Lesionado,,30-34,
2013|28,Lesionado,,Ignorado,
2013|29,Lesionado,,40-44,
2013|30,Lesionado,,30-34,
2013|31,Lesionado,,35-39,
2013|32,Lesionado,,35-39,
2013|33,Lesionado,,50-54,
2013|34,Lesionado,,25-29,
2013|35,Fallecido,,35-39,
2013|36,Lesionado,,45-49,
2013|37,Lesionado,,20-24,
2013|38,Lesionado,,40-44,
2013|39,Lesionado,,Menor de 15,
2013|40,Lesionado,,50-54,
2013|41,Lesionado,,Menor de 15,
2013|42,Lesionado,,55 y más,
2013|43,Lesionado,,45-49,
2013|44,Lesionado,,50-54,
2013|45,Lesionado,,55 y más,
2013|46,Lesionado,,45-49,
2013|47,Lesionado,,35-39,
2013|48,Lesionado,,35-39,
2013|49,Lesionado,,20-24,
2013|50,Fallecido,,20-24,
2013|51,Lesionado,,55 y más,
2013|52,Lesionado,,25-29,
2013|53,Lesionado,,20-24,
2013|54,Lesionado,,Menor de 15,
2013|55,Lesionado,,55 y más,
2013|56,Lesionado,,Menor de 15,
2013|57,Lesionado,,55 y más,
2013|58,Lesionado,,40-44,
2013|59,Lesionado,,55 y más,
2013|60,Lesionado,,15-19,
2013|61,Lesionado,,Menor de 15,
2013|62,Lesionado,,50-54,
2013|63,Lesionado,,35-39,
2013|64,Lesionado,,55 y más,
2013|65,Lesionado,,55 y más,
2013|66,Lesionado,,20-24,
2013|67,Lesionado,,35-39,
2013|68,Lesionado,,Menor de 15,
2013|69,Lesionado,,30-34,
2013|70,Lesionado,,25-29,
2013|71,Lesionado,,Menor de 15,
2013|72,Lesionado,,15-19,
2013|73,Lesionado,,Menor de 15,
2013|74,Fallecido,,40-44,
2013|75,Lesionado,,40-44,
2013|76,Lesionado,,35-39,
2013|77,Lesionado,,Menor de 15,
2013|78,Lesionado,,45-49,
2013|79,Lesionado,,50-54,
2013|80,Fallecido,,Menor de 15,
2013|81,Lesionado,,45-49,
2013|82,Fallecido,,Menor de 15,
2013|83,Fallecido,,40-44,
2013|84,Lesionado,,15-19,
2013|85,Lesionado,,30-34,
2013|86,Lesionado,,30-34,
2013|87,Lesionado,,Menor de 15,
2013|88,Lesionado,,Menor de 15,
2013|89,Lesionado,,Menor de 15,
2013|90,Lesionado,,20-24,
2013|91,Lesionado,,15-19,
2013|92,Lesionado,,15-19,
2013|93,Lesionado,,30-34,
2013|94,Lesionado,,30-34,
2013|95,Lesionado,,35-39,
2013|96,Lesionado,,15-19,
2013|97,Lesionado,,15-19,
2013|98,Lesionado,,20-24,
2013|99,Lesionado,,15-19,
2013|100,Lesionado,,20-24,
2013|101,Lesionado,,Menor de 15,
2013|102,Lesionado,,Menor de 15,
2013|103,Lesionado,,30-34,
2013|104,Lesionado,,Menor de 15,
2013|105,Lesionado,,15-19,
2013|106,Lesionado,,Menor de 15,
2013|107,Lesionado,,15-19,
2013|108,Lesionado,,Menor de 15,
2013|109,Lesionado,,Menor de 15,
2013|110,Lesionado,,15-19,
2013|111,Lesionado,,20-24,
2013|112,Lesionado,,25-29,
2013|113,Lesionado,,35-39,
2013|114,Lesionado,,Menor de 15,
2013|115,Lesionado,,Menor de 15,
2013|116,Lesionado,,15-19,
2013|117,Lesionado,,20-24,
2013|118,Lesionado,,Menor de 15,
2013|119,Lesionado,,20-24,
2013|120,Lesionado,,20-24,
2013|121,Lesionado,,45-49,
2013|122,Lesionado,,55 y más,
2013|123,Lesionado,,25-29,
2013|124,Lesionado,,20-24,
2013|125,Lesionado,,Menor de 15,
2013|126,Lesionado,,15-19,
2013|127,Lesionado,,Menor de 15,
2013|128,Lesionado,,25-29,
2013|129,Lesionado,,20-24,
2013|130,Lesionado,,40-44,
2013|131,Lesionado,,20-24,
2013|132,Lesionado,,40-44,
2013|133,Lesionado,,30-34,
2013|134,Lesionado,,35-39,
2013|135,Lesionado,,Menor de 15,
2013|136,Lesionado,,25-29,
2013|137,Lesionado,,Menor de 15,
2013|138,Lesionado,,15-19,
2013|139,Lesionado,,20-24,
2013|140,Lesionado,,55 y más,
2013|141,Lesionado,,15-19,
2013|142,Lesionado,,15-19,
2013|143,Lesionado,,25-29,
2013|144,Lesionado,,55 y más,
2013|145,Lesionado,,50-54,
2013|146,Lesionado,,Menor de 15,
2013|147,Lesionado,,Menor de 15,
2013|148,Lesionado,,Menor de 15,
2013|149,Lesionado,,50-54,
2013|150,Lesionado,,45-49,
