anio,categoria,n_registros
2013,fallecidos,9060
2013,hechos,6324
2013,vehiculos,6323
2014,fallecidos,8990
2014,hechos,5651
2014,vehiculos,7904
2015,fallecidos,10397
2015,hechos,6854
2015,vehiculos,21441
2016,fallecidos,11668
2016,hechos,7964
2017,fallecidos,8625
2017,hechos,5879
2017,vehiculos,8644
2018,fallecidos,9407
2018,hechos,6395
2018,vehiculos,9514
2019,fallecidos,10664
2019,hechos,7047
2019,vehiculos,10827
2020,fallecidos,8142
2020,hechos,6350
2020,vehiculos,10103
2021,fallecidos,10544
2021,hechos,8153
2021,vehiculos,12796
2022,fallecidos,10722
2022,hechos,7924
2022,vehiculos,12239
2023,fallecidos,10722
2023,hechos,7924
2023,vehiculos,12239
