lake,date,water_px,valid_px,coverage_pct_water,chl_mean,chl_median,chl_p95,ndvi_mean,ndwi_mean,tif_path,error
Amatitlan,2025-02-07,39401.0,39401.0,1.0,26.96310043334961,20.76858139038086,63.828269958496094,-1.5182912349700928,2.0412423610687256,tiffs_mes\Amatitlan\Amatitlan_2025-02-07.tif,
Amatitlan,2025-02-27,53187.0,53187.0,1.0,15.771939277648926,6.095390796661377,51.16599960327146,0.007404267322272062,0.15564781427383423,tiffs_mes\Amatitlan\Amatitlan_2025-02-27.tif,
Amatitlan,2025-03-02,,,,,,,,,,"[400] NoDataAvailable: There is no data available for the given extents. Could not find data for your load_collection request with catalog ID ""Sentinel2"". The catalog query had correlation ID ""r-2508141720584da99db4ef93d0983cc7"" and returned 0 results. (ref: r-2508141720584da99db4ef93d0983cc7)"
Amatitlan,2025-03-26,37480.0,37480.0,1.0,8.456269264221191,7.469249248504639,15.018611717224115,0.009997772052884102,0.16331779956817627,tiffs_mes\Amatitlan\Amatitlan_2025-03-26.tif,
Amatitlan,2025-04-03,50712.0,50712.0,1.0,9.667561531066895,5.1140923500061035,37.10520572662353,-0.1069832444190979,0.2553545832633972,tiffs_mes\Amatitlan\Amatitlan_2025-04-03.tif,
Amatitlan,2025-04-28,37193.0,37193.0,1.0,11.83503246307373,5.409882068634033,37.821476745605494,-0.0692654550075531,0.28297343850135803,tiffs_mes\Amatitlan\Amatitlan_2025-04-28.tif,
Amatitlan,2025-05-03,40403.0,40403.0,1.0,6.609217643737793,5.006524085998535,17.12364463806153,-0.09345420449972153,0.2565148174762726,tiffs_mes\Amatitlan\Amatitlan_2025-05-03.tif,
Amatitlan,2025-05-28,66460.0,66460.0,1.0,5.578889846801758,4.656506538391113,10.376953649520864,-0.06640507280826569,0.15369044244289398,tiffs_mes\Amatitlan\Amatitlan_2025-05-28.tif,
Amatitlan,2025-07-10,,,,,,,,,,"[400] NoDataAvailable: There is no data available for the given extents. Could not find data for your load_collection request with catalog ID ""Sentinel2"". The catalog query had correlation ID ""r-25081417233941afb1e22bb4bec45a3c"" and returned 0 results. (ref: r-25081417233941afb1e22bb4bec45a3c)"
Amatitlan,2025-07-24,,,,,,,,,,[429] Too Many Requests
Amatitlan,2025-08-01,,,,,,,,,,[429] Too Many Requests
Atitlan,2025-02-07,287075.0,287075.0,1.0,-8225715200.0,4.557343482971191,675.0022583007812,-4.890122413635254,10.72110652923584,tiffs_mes\Atitlan\Atitlan_2025-02-07.tif,
Atitlan,2025-02-27,517745.0,517745.0,1.0,3.5993545055389404,4.086071968078613,4.701312446594239,-0.1608312726020813,0.26978757977485657,tiffs_mes\Atitlan\Atitlan_2025-02-27.tif,
Atitlan,2025-03-02,51453.0,50796.0,0.987231065244009,-979861952.0,3.552649974822998,14.509107112884521,-6.7795305252075195,0.6773692965507507,tiffs_mes\Atitlan\Atitlan_2025-03-02.tif,
Atitlan,2025-03-26,216126.0,216126.0,1.0,-109878232.0,4.8042778968811035,5.312441110610962,-0.3372238278388977,0.08624397218227386,tiffs_mes\Atitlan\Atitlan_2025-03-26.tif,
Atitlan,2025-04-03,470940.0,470940.0,1.0,-2542504704.0,4.279945373535156,4.961136817932129,-4.101240634918213,3.039961338043213,tiffs_mes\Atitlan\Atitlan_2025-04-03.tif,
Atitlan,2025-04-28,310547.0,310547.0,1.0,-39247792.0,3.8884854316711426,4.787127494812012,-0.2574414908885956,0.4318261444568634,tiffs_mes\Atitlan\Atitlan_2025-04-28.tif,
Atitlan,2025-05-03,564873.0,564873.0,1.0,4.049914360046387,4.206978797912598,4.626498222351074,-0.08782553672790527,0.19689910113811493,tiffs_mes\Atitlan\Atitlan_2025-05-03.tif,
Atitlan,2025-05-28,418082.0,418082.0,1.0,4.403598308563232,4.449458599090576,4.756993293762207,-0.009067955426871777,0.1268090158700943,tiffs_mes\Atitlan\Atitlan_2025-05-28.tif,
Atitlan,2025-07-10,62830.0,62240.0,0.9906095814101544,4.06919527053833,4.4933671951293945,5.309123516082764,0.04702279716730118,0.10489688813686371,tiffs_mes\Atitlan\Atitlan_2025-07-10.tif,
Atitlan,2025-07-24,335693.0,335693.0,1.0,-36306868.0,4.2595648765563965,5.41404390335083,-3.4059042930603027,0.6476197242736816,tiffs_mes\Atitlan\Atitlan_2025-07-24.tif,
Atitlan,2025-08-01,306675.0,306675.0,1.0,-629197568.0,4.2314839363098145,4.89447546005249,-0.4321744441986084,0.23827143013477325,tiffs_mes\Atitlan\Atitlan_2025-08-01.tif,
